Date,tanks,abm,artillery_systems,mlrs,air_defense_equipment,planes,helicopters,uav,cruise_missiles,ships,submarines,cars_and_tank_trucks,special_equipment,personnel
2022-02-24,0,130,0,0,0,7,6,0,0,0,0,0,0,800
2022-02-25,0,516,0,0,0,10,7,0,0,0,0,0,0,2800
2022-02-26,0,0,0,0,0,16,18,0,0,0,0,0,0,3000
2022-02-27,150,706,50.0,4,1,27,26,2.0,0,2.0,0,0,0,4500
2022-02-28,191,816,74.0,21,1,29,29,3.0,0,2.0,0,291,0,5300
2022-03-01,198,846,77.0,24,8,29,29,3.0,0,2.0,0,305,0,5710
2022-03-02,271,862,85.0,40,9,30,31,3.0,0,2.0,0,355,0,5840
2022-03-03,277,900,90.0,42,11,30,31,3.0,0,2.0,0,374,0,9000
2022-03-04,311,939,105.0,50,18,37,37,3.0,0,2.0,0,404,0,9166
2022-03-05,329,945,105.0,50,19,39,40,3.0,0,2.0,0,409,0,10000
2022-03-06,345,985,109.0,50,21,44,48,4.0,0,2.0,0,447,0,11000
2022-03-07,350,999,117.0,50,23,46,68,7.0,0,3.0,0,454,0,11000
2022-03-08,363,1036,120.0,56,27,48,80,7.0,0,3.0,0,474,0,12000
2022-03-09,377,1070,120.0,56,28,49,81,7.0,0,3.0,0,482,0,12000
2022-03-10,395,1105,123.0,56,29,49,81,7.0,0,3.0,0,526,0,12000
2022-03-11,413,1165,125.0,58,31,57,83,7.0,0,3.0,0,558,0,12000
2022-03-12,422,1205,135.0,62,33,58,83,7.0,0,3.0,0,585,0,12000
2022-03-13,434,1226,140.0,62,34,74,86,7.0,0,3.0,0,600,0,12000
2022-03-14,449,1249,150.0,64,34,77,90,8.0,0,3.0,0,617,0,12000
2022-03-15,464,1279,150.0,64,36,81,95,9.0,0,3.0,0,640,0,13000
2022-03-16,490,1375,190.0,70,43,84,108,11.0,0,3.0,0,819,10,13000
2022-03-17,504,1435,201.0,72,43,86,108,11.0,0,3.0,0,864,10,14000
2022-03-18,510,1448,205.0,72,43,93,112,12.0,0,3.0,0,879,11,14000
2022-03-19,526,1470,213.0,72,44,95,115,17.0,0,3.0,0,914,11,14000
2022-03-20,536,1487,230.0,74,44,96,118,21.0,0,3.0,0,947,12,14000
2022-03-21,558,1535,240.0,80,45,97,121,24.0,0,3.0,0,969,13,15000
2022-03-22,579,1556,252.0,80,45,99,123,35.0,0,3.0,0,1000,15,15000
2022-03-23,587,1578,267.0,80,47,101,124,42.0,0,4.0,0,1008,15,15000
2022-03-24,602,1597,280.0,82,47,108,124,50.0,0,4.0,0,1033,16,15000
2022-03-25,633,1625,291.0,90,49,115,125,53.0,0,5.0,0,1089,18,16000
2022-03-26,648,1640,293.0,91,51,117,127,53.0,0,7.0,0,1131,21,16000
2022-03-27,655,1664,294.0,93,52,121,127,56.0,0,7.0,0,1144,25,16000
2022-03-28,659,1694,302.0,95,54,123,127,66.0,0,7.0,0,1150,25,17000
2022-03-29,670,1710,303.0,96,54,127,129,71.0,0,7.0,0,1178,25,17000
2022-03-30,680,1723,305.0,96,54,131,131,81.0,0,7.0,0,1184,25,17000
2022-03-31,689,1735,311.0,96,54,135,131,83.0,0,7.0,0,1201,26,17000
2022-04-01,701,1751,316.0,96,54,143,131,85.0,0,7.0,0,1220,28,17000
2022-04-02,707,1776,317.0,100,54,143,134,87.0,0,7.0,0,1236,28,17000
2022-04-03,720,1830,325.0,105,54,143,134,89.0,0,7.0,0,1249,28,18000
2022-04-04,723,1844,330.0,107,54,147,134,92.0,0,7.0,0,1273,29,18000
2022-04-05,752,1858,332.0,107,55,150,134,94.0,0,7.0,0,1322,29,18000
2022-04-06,760,1861,332.0,107,55,150,135,96.0,0,7.0,0,1324,29,18000
2022-04-07,774,1891,332.0,108,55,150,135,111.0,0,7.0,0,1358,29,18000
2022-04-08,776,1891,333.0,108,55,150,135,112.0,0,7.0,0,1361,29,19000
2022-04-09,781,1895,335.0,108,55,151,136,112.0,0,7.0,0,1363,29,19000
