Date,RUS-Tanks-Documented,RUS-Tanks-Claimed-UKR,RUS-Aircraft-Documented,RUS-Aircraft-Claimed-UKR,RUS-Artillery-Documented,RUS-Artillery-Claimed-UKR,RUS-AirDefense-Documented,RUS-AirDefense-Claimed-UKR,RUS-Vehicles-Documented,RUS-Vehicles-Claimed-UKR,RUS-Personnel-Documented,RUS-Personnel-Claimed-UKR
2022-02-24,1,0.0,4,13.0,0,0.0,1,0.0,9,0.0,3,800.0
2022-02-25,2,0.0,5,17.0,4,0.0,2,0.0,19,0.0,9,2800.0
2022-02-26,7,0.0,5,34.0,4,0.0,3,0.0,37,0.0,18,3000.0
2022-02-27,9,150.0,6,55.0,4,54.0,4,1.0,66,0.0,32,4500.0
2022-02-28,41,191.0,7,61.0,9,95.0,15,1.0,108,291.0,77,5300.0
2022-03-01,44,198.0,9,61.0,10,101.0,16,8.0,117,305.0,84,5710.0
2022-03-02,55,271.0,12,64.0,16,125.0,20,9.0,162,355.0,110,5840.0
2022-03-03,65,277.0,12,64.0,21,132.0,20,11.0,177,374.0,123,9000.0
2022-03-04,91,311.0,15,77.0,24,155.0,25,18.0,204,404.0,138,9166.0
2022-03-05,106,329.0,22,82.0,24,155.0,27,19.0,224,409.0,175,10000.0
2022-03-06,119,345.0,22,96.0,42,159.0,29,21.0,255,447.0,199,11000.0
2022-03-07,136,350.0,24,121.0,44,167.0,31,23.0,261,454.0,212,11000.0
2022-03-08,151,363.0,24,135.0,47,176.0,32,27.0,296,474.0,224,12000.0
2022-03-09,156,377.0,24,137.0,49,176.0,32,28.0,298,482.0,229,12000.0
2022-03-10,166,395.0,27,137.0,51,179.0,36,29.0,302,526.0,242,12000.0
2022-03-11,190,413.0,29,147.0,53,183.0,38,31.0,334,558.0,263,12000.0
2022-03-12,193,422.0,32,148.0,55,197.0,40,33.0,343,585.0,270,12000.0
2022-03-13,198,434.0,33,167.0,55,202.0,40,34.0,346,600.0,272,12000.0
2022-03-14,209,449.0,35,175.0,57,214.0,40,34.0,407,617.0,286,12000.0
2022-03-15,217,464.0,36,185.0,62,214.0,42,36.0,414,640.0,299,13000.0
