Date,tanks,artillery_systems,combined_aircraft,personnel,cars_and_tank_trucks,air_defense_equipment,special_equipment,Russia_Tanks,Russia_Artillery,Russia_Aircraft,Russia_Infantry,Russia_Vehicles,Russia_Antiair,Russia_Engineering
2022-02-24,0,0.0,13,800,0,0,0,1,0,4,3,9,1,3
2022-02-25,0,0.0,17,2800,0,0,0,2,4,5,9,19,2,3
2022-02-27,150,50.0,53,4500,0,1,0,9,4,6,32,66,4,12
2022-02-28,191,74.0,58,5300,291,1,0,41,9,7,77,108,15,16
2022-03-01,198,77.0,58,5710,305,8,0,44,10,9,84,117,16,17
2022-03-02,271,85.0,61,5840,355,9,0,55,16,12,110,162,20,23
2022-03-03,277,90.0,61,9000,374,11,0,65,21,12,123,177,20,24
2022-03-04,311,105.0,74,9166,404,18,0,91,24,15,138,204,25,26
2022-03-05,329,105.0,79,10000,409,19,0,106,24,22,175,224,27,33
2022-03-06,345,109.0,92,11000,447,21,0,119,42,22,199,255,29,35
2022-03-07,350,117.0,114,11000,454,23,0,136,44,24,212,261,31,36
2022-03-08,363,120.0,128,12000,474,27,0,151,47,24,224,296,32,37
2022-03-09,377,120.0,130,12000,482,28,0,156,49,24,229,298,32,37
2022-03-10,395,123.0,130,12000,526,29,0,166,51,27,242,302,36,36
2022-03-11,413,125.0,140,12000,558,31,0,190,53,29,263,334,38,36
2022-03-12,422,135.0,141,12000,585,33,0,193,55,32,270,343,40,37
2022-03-13,434,140.0,160,12000,600,34,0,198,55,33,272,346,40,38
2022-03-14,449,150.0,167,12000,617,34,0,209,57,35,286,407,40,41
2022-03-15,464,150.0,176,13000,640,36,0,217,62,36,299,414,42,41
2022-03-16,490,190.0,192,13000,819,43,10,229,63,53,307,420,42,41
2022-03-17,504,201.0,194,14000,864,43,10,237,67,53,330,482,43,43
2022-03-18,510,205.0,205,14000,879,43,11,244,70,56,347,499,46,43
2022-03-19,526,213.0,210,14000,914,44,11,251,71,57,354,520,46,43
2022-03-20,536,230.0,214,14000,947,44,12,263,75,61,369,544,50,44
2022-03-21,558,240.0,218,15000,969,45,13,263,76,62,370,544,50,44
2022-03-22,579,252.0,222,15000,1000,45,15,270,86,63,380,547,50,46
2022-03-23,587,267.0,225,15000,1008,47,15,277,88,66,387,567,51,46
2022-03-24,602,280.0,232,15000,1033,47,16,280,95,66,390,579,51,47
2022-03-25,633,291.0,240,16000,1089,49,18,295,97,67,418,587,51,52
2022-03-26,648,293.0,244,16000,1131,51,21,298,100,67,428,592,51,55
2022-03-27,655,294.0,248,16000,1144,52,25,310,104,68,443,629,52,60
2022-03-28,659,302.0,250,17000,1150,54,25,318,104,68,450,640,52,61
2022-03-29,670,303.0,256,17000,1178,54,25,340,106,70,468,650,52,64
2022-03-30,680,305.0,262,17000,1184,54,25,347,112,71,475,650,53,65
2022-03-31,689,311.0,266,17000,1201,54,26,352,112,70,497,652,54,67
2022-04-01,701,316.0,274,17000,1220,54,28,388,115,74,527,667,56,70
2022-04-02,707,317.0,277,17000,1236,54,28,391,116,74,528,667,56,70
2022-04-03,720,325.0,277,18000,1249,54,28,410,126,78,557,694,57,73
2022-04-04,723,330.0,281,18000,1273,54,29,425,131,79,574,698,62,77
2022-04-05,752,332.0,284,18000,1322,55,29,427,132,74,610,714,63,80
2022-04-06,760,332.0,285,18000,1324,55,29,452,138,74,623,728,70,86
2022-04-07,774,332.0,285,18000,1358,55,29,448,138,74,636,750,73,86
2022-04-08,776,333.0,285,19000,1361,55,29,449,139,76,638,751,73,87
2022-04-09,781,335.0,287,19000,1363,55,29,456,146,78,670,779,73,92
2022-04-10,798,342.0,289,19000,1384,55,29,467,149,79,675,787,74,99
2022-04-11,801,347.0,291,19000,1387,55,29,476,151,80,684,787,74,101
2022-04-12,808,349.0,297,19000,1406,63,29,488,152,80,689,789,75,102
2022-04-13,815,358.0,301,19000,1429,64,29,505,154,81,708,823,76,105
2022-04-14,829,366.0,304,19000,1437,64,29,507,156,84,708,826,76,105
2022-04-15,832,366.0,307,20000,1443,66,29,507,156,86,708,826,76,105
2022-04-16,838,371.0,308,20100,1458,66,30,505,156,86,711,827,76,106
2022-04-17,849,376.0,311,20000,1471,66,31,510,157,89,713,832,76,108
2022-04-18,866,381.0,314,20000,1487,67,31,519,157,91,727,834,76,109
2022-04-19,878,386.0,319,20000,1495,67,31,519,157,94,729,834,76,109
2022-04-20,891,391.0,321,20000,1504,67,31,525,157,96,753,841,77,110
2022-04-21,905,393.0,323,21000,1508,67,31,531,157,102,757,856,77,111
2022-04-22,914,397.0,329,21200,1523,69,31,531,157,102,757,856,77,111
2022-04-23,930,403.0,331,21600,1543,69,31,543,160,105,777,857,77,114
2022-04-24,949,408.0,333,21800,1557,69,32,551,161,105,792,857,77,114
2022-04-25,960,411.0,335,21900,1566,69,32,562,162,106,813,861,77,118
2022-04-26,994,416.0,338,22000,1643,69,35,571,162,110,816,862,77,118
2022-04-27,1015,421.0,340,22000,1666,71,35,579,162,111,823,867,77,118
2022-04-28,1046,431.0,342,22000,1688,72,35,584,162,113,825,867,77,119
2022-04-29,1062,435.0,344,23000,1695,73,35,587,162,113,826,870,78,119
2022-04-30,1084,436.0,345,23000,1701,77,36,595,165,114,852,878,79,121
2022-05-01,1026,451.0,347,23000,1796,80,32,606,165,114,855,878,79,121
2022-05-02,1048,459.0,349,23000,1824,80,38,600,167,115,859,884,80,121
2022-05-03,1062,475.0,349,24000,1843,80,38,600,167,119,870,894,81,122
2022-05-04,1077,491.0,349,24000,1867,81,38,605,168,121,877,907,81,123
2022-05-05,1092,499.0,351,24000,1907,83,38,608,168,123,885,915,81,123
2022-05-06,1110,502.0,354,24900,1926,83,38,625,168,117,896,916,82,123
2022-05-07,1122,509.0,354,25000,1934,84,38,623,169,117,896,918,83,122
2022-05-08,1130,509.0,355,25000,1961,86,39,633,173,121,905,919,83,129
2022-05-09,1145,513.0,357,25650,1970,87,41,641,174,122,918,942,84,133
2022-05-09,2068,1157.0,442,49800,3286,156,107,641,174,122,918,942,84,133
2022-05-10,1170,519.0,357,26000,1980,87,41,645,175,123,920,942,84,133
2022-05-11,1187,528.0,359,26350,1997,87,41,662,179,125,921,948,84,133
2022-05-12,1195,534.0,360,26650,2019,87,41,662,179,125,921,948,84,133
2022-05-13,1205,542.0,362,26000,2042,88,41,668,182,128,932,955,84,134
2022-05-14,1218,551.0,363,27000,2059,88,42,669,182,128,938,957,84,136
2022-05-15,1220,555.0,364,27000,2087,89,42,669,182,128,938,957,84,136
2022-05-16,1228,577.0,365,27000,2101,89,42,669,182,128,938,957,84,136
2022-05-17,1235,578.0,368,27000,2109,90,43,669,182,128,938,957,84,136
2022-05-18,1251,586.0,369,28000,2137,91,43,669,182,128,938,957,84,136
2022-05-19,1254,595.0,370,28000,2157,93,43,671,182,128,942,957,84,136
2022-05-20,1263,596.0,372,28000,2162,93,43,682,182,131,947,958,87,136
2022-05-21,1278,596.0,373,28850,2178,93,43,685,184,133,955,960,88,136
2022-05-22,1285,599.0,374,29050,2194,93,43,691,187,142,973,971,88,136
